Rundvekt;CatchLat;CatchLon;Location;Date;Catch;cop_chl;cop_no3;cop_o2;cop_phyc;cop_zooc;nk800_temperature;nk800_salinity;nk800_u;nk800_v;nk800_w;w_class;q_class
12000.0;67.555;12.845;(67.555, 12.845);2019-06-19;True;0.2909294664859772;0.016608774662017822;277.005615234375;2.7433066368103027;1.2556623220443726;9.069999694824219;33.8489990234375;-0.10400000214576721;0.06100000441074371;-5.879816853848752e-06;very small;Q3
6000.0;67.65;12.8;(67.65, 12.8);2019-06-20;True;0.27877363562583923;0.015463686548173428;278.8907775878906;2.715132713317871;1.0845636129379272;8.010000228881836;33.89900207519531;-0.2800000011920929;0.07700000703334808;-7.565292889921693e-07;very small;Q2
9000.0;67.542;13.031;(67.542, 13.031);2019-06-20;True;0.29058128595352173;0.015535563230514526;278.44427490234375;2.8654372692108154;1.3099559545516968;11.059999465942383;33.89500045776367;-0.13100001215934753;0.08400000631809235;-3.1588733691023663e-06;very small;Q3
4000.0;67.956;13.401;(67.956, 13.401);2019-06-21;True;0.24767708778381348;0.014789897948503494;277.4627380371094;2.5489816665649414;0.7053764462471008;10.460000038146973;33.641998291015625;0.014000000432133675;-0.03100000135600567;-5.774882993136998e-06;very small;Q2
4000.0;67.947;13.695;(67.947, 13.695);2019-06-21;True;0.250958651304245;0.0150982104241848;279.78436279296875;2.5064408779144287;0.7799075245857239;10.960000038146973;33.722999572753906;-0.04500000178813934;-0.023000001907348633;-5.840086032549152e-06;very small;Q2
12000.0;67.555;12.845;(67.555, 12.845);2019-06-22;False;0.3113430440425873;0.012534204870462418;283.0116882324219;2.706859827041626;1.0196110010147095;9.889999389648438;33.86899948120117;-0.05000000074505806;-0.021000001579523087;-3.2053292216005502e-06;very small;Q3
15000.0;67.651;13.071;(67.651, 13.071);2019-06-23;True;0.3097069263458252;0.01014238316565752;285.7361145019531;2.7699131965637207;0.8512961268424988;8.399999618530273;33.9119987487793;-0.08800000697374344;0.0010000000474974513;-1.0802524457176332e-06;very small;Q4
9000.0;67.542;13.031;(67.542, 13.031);2019-06-24;False;0.3236251473426819;0.009605769999325275;286.56201171875;2.846067428588867;0.8626890778541565;9.0;33.88800048828125;-0.08700000494718552;0.030000001192092896;-1.3660257991432445e-06;very small;Q3
6000.0;67.65;12.8;(67.65, 12.8);2019-06-24;False;0.3190922439098358;0.010556919500231743;285.8519287109375;2.739626169204712;0.8138817548751831;8.179999351501465;33.915000915527344;-0.06800000369548798;0.09700000286102295;2.442817503833794e-06;very small;Q2
4000.0;67.947;13.695;(67.947, 13.695);2019-06-25;False;0.285423219203949;0.011473879218101501;287.3559875488281;2.518834114074707;0.5065284371376038;9.800000190734863;33.691001892089844;-0.09300000220537186;-0.058000002056360245;-1.1817419363069348e-06;very small;Q2
4000.0;67.956;13.401;(67.956, 13.401);2019-06-25;False;0.2892204821109772;0.011065559461712837;287.1050720214844;2.5992937088012695;0.537773072719574;10.149999618530273;33.69300079345703;0.07800000160932541;-0.07100000232458115;-2.2470580915978644e-06;very small;Q2
15000.0;67.651;13.071;(67.651, 13.071);2019-06-26;False;0.3155409097671509;0.008643372915685177;285.36883544921875;2.8397715091705322;0.6833224892616272;8.309999465942383;33.91999816894531;-0.05100000277161598;-0.15900000929832458;-9.753282483870862e-07;very small;Q4
35000.0;67.781;13.156;(67.781, 13.156);2019-06-27;False;0.33045023679733276;0.009213043376803398;286.7464599609375;2.868452310562134;0.6246162056922913;8.569999694824219;33.90999984741211;0.004000000189989805;0.04000000283122063;-7.047669896564912e-07;very small;Q4
37000.0;67.848;13.267;(67.848, 13.267);2019-06-27;False;0.3949841260910034;0.013729964382946491;292.03509521484375;3.2483253479003906;0.6423461437225342;9.6899995803833;33.79600143432617;-0.003000000026077032;-0.04500000178813934;-1.2359557786112418e-06;very small;Q4
37000.0;67.848;13.267;(67.848, 13.267);2019-06-28;True;0.4769435226917267;0.01507364958524704;294.2621765136719;3.8194031715393066;0.6792314648628235;9.359999656677246;33.82699966430664;0.005000000353902578;-0.036000002175569534;2.6112063551408937e-06;very small;Q4
35000.0;67.781;13.156;(67.781, 13.156);2019-06-28;True;0.35761335492134094;0.009211457334458828;287.6563720703125;3.035215139389038;0.627714991569519;9.489999771118164;33.82099914550781;-0.018000001087784767;-0.013000000268220901;2.0671657239290653e-06;very small;Q4
25000.0;67.883;13.362;(67.883, 13.362);2019-06-29;True;0.5964215993881226;0.013513751327991486;297.811767578125;4.640933036804199;0.7208998203277588;9.899999618530273;33.749000549316406;-0.03700000047683716;-0.024000000208616257;2.3288271222554613e-06;very small;Q4
25000.0;67.934;13.428;(67.934, 13.428);2019-06-29;True;0.6748274564743042;0.016987713053822517;300.4667053222656;5.178096771240234;0.7517957091331482;9.010000228881836;33.7760009765625;-0.030000001192092896;-0.04500000178813934;2.5889789867505897e-06;very small;Q4
20000.0;67.778;13.188;(67.778, 13.188);2019-06-30;True;0.46000173687934875;0.007783179637044668;289.8686218261719;3.753208637237549;0.6644847393035889;9.869999885559082;33.75699996948242;-0.04800000041723251;0.04400000348687172;4.716142939287238e-06;very small;Q4
14000.0;67.985;13.95;(67.985, 13.95);2019-07-01;True;0.7819772362709045;0.00876961275935173;299.2618103027344;6.097313404083252;1.244648814201355;9.670000076293945;33.755001068115234;-0.052000001072883606;-0.017000000923871994;3.718743982972228e-06;very small;Q4
