Rundvekt;CatchLat;CatchLon;Location;Date;Catch;cop_chl_d0;cop_chl_d3;cop_chl_d10;cop_chl_d15;cop_chl_d25;cop_chl_d50;cop_no3_d0;cop_no3_d3;cop_no3_d10;cop_no3_d15;cop_no3_d25;cop_no3_d50;cop_o2_d0;cop_o2_d3;cop_o2_d10;cop_o2_d15;cop_o2_d25;cop_o2_d50;cop_phyc_d0;cop_phyc_d3;cop_phyc_d10;cop_phyc_d15;cop_phyc_d25;cop_phyc_d50;cop_zooc_d0;cop_zooc_d3;cop_zooc_d10;cop_zooc_d15;cop_zooc_d25;cop_zooc_d50;nk800_temperature_d0;nk800_temperature_d3;nk800_temperature_d10;nk800_temperature_d15;nk800_temperature_d25;nk800_temperature_d50;nk800_salinity_d0;nk800_salinity_d3;nk800_salinity_d10;nk800_salinity_d15;nk800_salinity_d25;nk800_salinity_d50;nk800_u_d0;nk800_u_d3;nk800_u_d10;nk800_u_d15;nk800_u_d25;nk800_u_d50;nk800_v_d0;nk800_v_d3;nk800_v_d10;nk800_v_d15;nk800_v_d25;nk800_v_d50;nk800_w_d0;nk800_w_d3;nk800_w_d10;nk800_w_d15;nk800_w_d25;nk800_w_d50;nk800_h
12000.0;67.555;12.845;(67.555, 12.845);2019-06-19;True;0.2909294664859772;0.2935842275619507;0.3445107638835907;0.692634105682373;0.6434779763221741;0.3212895095348358;0.016608774662017822;0.01627037115395069;0.008615029975771904;0.12037336826324463;3.1304714679718018;6.557894229888916;277.005615234375;282.42633056640625;298.9369812011719;317.58282470703125;314.9827575683594;297.38226318359375;2.7433066368103027;2.7486307621002197;2.668508529663086;4.050500869750977;3.2660841941833496;1.0134645700454712;1.2556623220443726;1.2591885328292847;1.2807340621948242;1.7798117399215698;0.8511425256729126;0.043132226914167404;9.069999694824219;8.949999809265137;8.149999618530273;7.710000038146973;7.159999847412109;6.609999656677246;33.8489990234375;33.849998474121094;33.862998962402344;33.875;33.9010009765625;33.952999114990234;-0.10400000214576721;-0.1120000034570694;-0.125;-0.14100000262260437;-0.16700001060962677;-0.14400000870227814;0.06100000441074371;0.0650000050663948;0.11100000888109207;0.12600000202655792;0.1469999998807907;0.13100001215934753;-5.879816853848752e-06;4.6924826165195554e-05;0.00011568349145818502;0.00011847436690004542;0.00011679904855554923;0.00010466923413332552;215.02940368652344
6000.0;67.65;12.8;(67.65, 12.8);2019-06-20;True;0.27877363562583923;0.2796015739440918;0.3335043489933014;0.7568008899688721;0.6683257818222046;0.3631526827812195;0.015463686548173428;0.015299244783818722;0.007515886798501015;0.1551414132118225;3.2713558673858643;6.336006164550781;278.8907775878906;280.7821350097656;299.6404113769531;319.6722412109375;315.3785095214844;298.90179443359375;2.715132713317871;2.7132627964019775;2.6844351291656494;4.551939964294434;3.4210517406463623;1.2327886819839478;1.0845636129379272;1.0830134153366089;1.1479078531265259;1.8045176267623901;0.8725571632385254;0.061794597655534744;8.010000228881836;7.980000019073486;7.559999942779541;7.429999828338623;7.299999713897705;7.12999963760376;33.89900207519531;33.89900207519531;33.9119987487793;33.917999267578125;33.92499923706055;33.9370002746582;-0.2800000011920929;-0.2710000276565552;-0.28700000047683716;-0.289000004529953;-0.28600001335144043;-0.242000013589859;0.07700000703334808;0.06700000166893005;0.0560000017285347;0.049000002443790436;0.04000000283122063;0.05100000277161598;-7.565292889921693e-07;-3.066508361371234e-05;-0.00010002171620726585;-0.00014125023153610528;-0.00010574929183349013;0.00027699689962901175;118.68592071533203
9000.0;67.542;13.031;(67.542, 13.031);2019-06-20;True;0.29058128595352173;0.2919608950614929;0.33287671208381653;0.6639524698257446;0.67044997215271;0.3215670883655548;0.015535563230514526;0.015250997617840767;0.007472602184861898;0.05864867940545082;2.960200309753418;6.4115142822265625;278.44427490234375;281.3038635253906;299.41717529296875;318.3329772949219;315.96563720703125;297.94183349609375;2.8654372692108154;2.866955280303955;2.75301194190979;4.158290386199951;3.480804443359375;1.035658597946167;1.3099559545516968;1.3087406158447266;1.2874841690063477;1.806410789489746;0.8567953109741211;0.05027228221297264;11.059999465942383;11.050000190734863;10.229999542236328;8.84999942779541;7.37999963760376;6.230000019073486;33.89500045776367;33.89500045776367;33.92399978637695;33.96500015258789;34.01300048828125;34.08100128173828;-0.13100001215934753;-0.1210000067949295;-0.1290000081062317;-0.13300000131130219;-0.125;-0.10500000417232513;0.08400000631809235;0.07100000232458115;0.03500000014901161;0.02800000086426735;0.023000001907348633;0.020000001415610313;-3.1588733691023663e-06;-2.5254064439650392e-06;-3.270190518378513e-06;-1.1127973266411573e-05;-8.434145684077521e-07;-1.3186939213483129e-05;245.04554748535156
4000.0;67.956;13.401;(67.956, 13.401);2019-06-21;True;0.24767708778381348;0.24798516929149628;0.28384584188461304;0.4828242063522339;0.49062567949295044;0.42587870359420776;0.014789897948503494;0.014747930690646172;0.0074863554909825325;0.02607438899576664;1.591974139213562;5.646193027496338;277.4627380371094;278.5251159667969;299.6555480957031;315.6242980957031;322.97100830078125;302.3699645996094;2.5489816665649414;2.5467846393585205;2.3531463146209717;2.9805691242218018;2.5512094497680664;1.448128581047058;0.7053764462471008;0.7045981884002686;0.7655365467071533;1.226374864578247;1.2177937030792236;0.06698932498693466;10.460000038146973;10.460000038146973;10.149999618530273;9.429999351501465;8.489999771118164;6.62999963760376;33.641998291015625;33.641998291015625;33.665000915527344;33.69300079345703;33.736000061035156;33.84400177001953;0.014000000432133675;0.0020000000949949026;-0.013000000268220901;-0.01900000125169754;-0.02500000037252903;-0.012000000104308128;-0.03100000135600567;-0.03100000135600567;-0.012000000104308128;-0.01100000087171793;-0.007000000216066837;0.0;-5.774882993136998e-06;8.064814210229088e-06;5.625425910693593e-05;8.226111822295934e-05;6.612877768930048e-05;7.444362563546747e-05;98.57952117919922
4000.0;67.947;13.695;(67.947, 13.695);2019-06-21;True;0.250958651304245;0.25117287039756775;0.2876133322715759;0.4376285970211029;0.47393345832824707;0.4127233326435089;0.0150982104241848;0.015063254162669182;0.008027881383895874;0.026303010061383247;1.311693549156189;6.0127129554748535;279.78436279296875;280.06201171875;301.2697448730469;316.29644775390625;324.94964599609375;300.1625671386719;2.5064408779144287;2.5054337978363037;2.3271164894104004;2.727431058883667;2.4652090072631836;1.3652184009552002;0.7799075245857239;0.7798798680305481;0.8292105197906494;1.1431604623794556;1.2909194231033325;0.026824872940778732;10.960000038146973;10.949999809265137;10.289999961853027;8.769999504089355;7.690000057220459;6.609999656677246;33.722999572753906;33.722999572753906;33.736000061035156;33.82600021362305;33.9370002746582;34.04999923706055;-0.04500000178813934;-0.058000002056360245;-0.08300000429153442;-0.0560000017285347;-0.03700000047683716;-0.02500000037252903;-0.023000001907348633;-0.02200000174343586;0.007000000216066837;0.02800000086426735;0.027000000700354576;0.024000000208616257;-5.840086032549152e-06;4.572795660351403e-06;2.8471951736719348e-05;4.006486778962426e-05;4.430130866239779e-05;4.274912134860642e-05;140.45314025878906
12000.0;67.555;12.845;(67.555, 12.845);2019-06-22;False;0.3113430440425873;0.3115518391132355;0.3347697854042053;0.7241404056549072;0.627708911895752;0.2894153296947479;0.012534204870462418;0.012505256570875645;0.009375159628689289;0.1206742525100708;3.227731943130493;6.5728840827941895;283.0116882324219;283.15667724609375;288.8021545410156;318.507080078125;313.4259033203125;297.0372314453125;2.706859827041626;2.707458972930908;2.736938238143921;4.185398101806641;3.096735715866089;0.9080923795700073;1.0196110010147095;1.0200635194778442;1.0721468925476074;1.748227596282959;0.674548864364624;0.033981505781412125;9.889999389648438;9.889999389648438;9.559999465942383;8.679999351501465;7.460000038146973;6.319999694824219;33.86899948120117;33.869998931884766;33.88500213623047;33.93199920654297;33.99100112915039;34.05699920654297;-0.05000000074505806;-0.06599999964237213;-0.0950000062584877;-0.11500000208616257;-0.12200000882148743;-0.10100000351667404;-0.021000001579523087;-0.014000000432133675;0.0020000000949949026;0.02200000174343586;0.026000000536441803;0.021000001579523087;-3.2053292216005502e-06;2.0873392713838257e-05;6.379347178153694e-05;5.538505865843035e-05;-9.08369565877365e-06;-4.0993552829604596e-05;215.02940368652344
15000.0;67.651;13.071;(67.651, 13.071);2019-06-23;True;0.3097069263458252;0.309937447309494;0.3124525249004364;0.7457153797149658;0.6211972832679749;0.31188029050827026;0.01014238316565752;0.010111632756888866;0.00885365717113018;0.11210140585899353;3.2893741130828857;6.439321994781494;285.7361145019531;285.90179443359375;286.2947082519531;324.148193359375;315.4747314453125;297.9496765136719;2.7699131965637207;2.770764112472534;2.782069444656372;4.443215370178223;3.0988316535949707;0.9914068579673767;0.8512961268424988;0.8516915440559387;0.8525950908660889;1.7377814054489136;0.6327906847000122;0.033945243805646896;8.399999618530273;8.389999389648438;8.130000114440918;7.779999732971191;7.409999847412109;7.059999942779541;33.9119987487793;33.9119987487793;33.917999267578125;33.927001953125;33.93899917602539;33.957000732421875;-0.08800000697374344;-0.10500000417232513;-0.11500000208616257;-0.0860000029206276;-0.03100000135600567;-0.013000000268220901;0.0010000000474974513;0.009000000543892384;0.052000001072883606;0.11100000888109207;0.164000004529953;0.16900001466274261;-1.0802524457176332e-06;-1.8562564946478233e-05;-6.510720413643867e-05;-9.481051529292017e-05;-0.00011664017802104354;-0.0003159314801450819;203.83782958984375
9000.0;67.542;13.031;(67.542, 13.031);2019-06-24;False;0.3236251473426819;0.3238968253135681;0.3281789720058441;0.825179398059845;0.6082926392555237;0.27201569080352783;0.009605769999325275;0.009580030106008053;0.007757724728435278;0.16916194558143616;3.5384490489959717;6.62716007232666;286.56201171875;286.7146911621094;287.1647033691406;324.8895568847656;312.4107360839844;296.4649963378906;2.846067428588867;2.847090482711792;2.8641929626464844;4.815312385559082;2.998204469680786;0.8558635115623474;0.8626890778541565;0.8633818030357361;0.8693997263908386;1.903019905090332;0.4998084604740143;0.03076033666729927;9.0;9.0;8.979999542236328;8.800000190734863;7.739999771118164;6.599999904632568;33.88800048828125;33.888999938964844;33.88999938964844;33.90700149536133;33.99100112915039;34.08700180053711;-0.08700000494718552;-0.10400000214576721;-0.11900000274181366;-0.1290000081062317;-0.11100000888109207;-0.1120000034570694;0.030000001192092896;0.04400000348687172;0.06200000271201134;0.10000000149011612;0.11300000548362732;0.09000000357627869;-1.3660257991432445e-06;5.285843144520186e-06;2.2081621864344925e-05;3.3002073905663565e-05;5.554140807362273e-05;0.00011636588897090405;245.04554748535156
6000.0;67.65;12.8;(67.65, 12.8);2019-06-24;False;0.3190922439098358;0.3194194436073303;0.3227216601371765;0.8586872220039368;0.5988367795944214;0.29122427105903625;0.010556919500231743;0.010534349828958511;0.008714204654097557;0.32655107975006104;3.7517433166503906;6.583230018615723;285.8519287109375;286.00836181640625;286.4390563964844;323.66693115234375;311.7997741699219;297.1608581542969;2.739626169204712;2.7410528659820557;2.753740072250366;4.8965959548950195;2.924700975418091;0.9448438286781311;0.8138817548751831;0.8144924640655518;0.8179788589477539;1.6678658723831177;0.49812939763069153;0.040310852229595184;8.179999351501465;8.179999351501465;8.15999984741211;8.109999656677246;7.980000019073486;7.409999847412109;33.915000915527344;33.915000915527344;33.91600036621094;33.917999267578125;33.922000885009766;33.95399856567383;-0.06800000369548798;-0.0820000022649765;-0.09200000762939453;-0.08700000494718552;-0.06800000369548798;-0.036000002175569534;0.09700000286102295;0.11100000888109207;0.1300000101327896;0.14300000667572021;0.1380000114440918;0.08300000429153442;2.442817503833794e-06;-8.358904597116634e-05;-0.0002755841996986419;-0.0003886465565301478;-0.0005550173809751868;-0.0003517396980896592;118.68592071533203
4000.0;67.947;13.695;(67.947, 13.695);2019-06-25;False;0.285423219203949;0.28566136956214905;0.43174001574516296;0.601498007774353;0.4250260889530182;0.30742090940475464;0.011473879218101501;0.011470283381640911;0.026644719764590263;0.6968320608139038;2.9265553951263428;6.5328898429870605;287.3559875488281;287.53765869140625;307.46905517578125;323.7376403808594;316.6217956542969;296.7729187011719;2.518834114074707;2.5194265842437744;3.069549083709717;3.436898708343506;2.0696568489074707;0.9880603551864624;0.5065284371376038;0.50686115026474;0.717623770236969;0.9064673185348511;0.4825434386730194;0.022288544103503227;9.800000190734863;9.789999961853027;9.729999542236328;8.84000015258789;7.409999847412109;6.449999809265137;33.691001892089844;33.691001892089844;33.696998596191406;33.79499816894531;33.92499923706055;34.02000045776367;-0.09300000220537186;-0.10900000482797623;-0.12000000476837158;-0.05700000375509262;-0.01900000125169754;0.0020000000949949026;-0.058000002056360245;-0.046000003814697266;-0.014000000432133675;0.009000000543892384;0.007000000216066837;0.006000000052154064;-1.1817419363069348e-06;-1.5062731108628213e-05;-3.814767478615977e-05;-2.6538991733104922e-05;1.329621227341704e-06;-1.835244256653823e-05;140.45314025878906
